"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2024","6","60","0.3","0.7","0.2","1.1","35","55","33"
"Adell, Jo","666176","2024","-1","56.3","-0.3","-1.1","-0.1","-1.5","31.8","48","27"
"Andujar, Miguel","609280","2024","-7","28.9","-1.7","1.6","-1.3","-1.4","32.6","38","11"
"Arozarena, Randy","668227","2024","-9","36.4","-1.5","-0.4","0.1","-1.8","31.7","77","28"
"Bader, Harrison","664056","2024","8","72.1","1.1","-0.2","0.2","1.1","35.8","61","44"
"Bellinger, Cody","641355","2024","-2","41.3","0.9","0.5","0.2","1.6","35.4","46","19"
"Benintendi, Andrew","643217","2024","-10","28.1","-1.2","0.2","-0.3","-1.3","32.1","57","16"
"Benson, Will","666181","2024","-2","41.5","0.1","0.5","-0.6","-0.1","33.9","53","22"
"Bleday, JJ","668709","2024","-3","49.4","0.3","-0.1","0","0.1","34.9","77","38"
"Brennan, Will","686823","2024","-2","47.6","0.4","-0.3","0.1","0.3","34.4","42","20"
"Butler, Lawrence","671732","2024","-1","49.1","0.4","0","0.1","0.5","33.9","57","28"
"Buxton, Byron","621439","2024","1","46","0.9","-0.5","0.5","0.9","35.7","50","23"
"Carlson, Dylan","666185","2024","-6","41.5","-0.9","-0.4","0.1","-1.1","33.1","41","17"
"Carroll, Corbin","682998","2024","5","53.7","0.9","2.1","-1.9","1","34.8","95","51"
"Castellanos, Nick","592206","2024","-8","35.7","-1.9","-0.5","-0.1","-2.5","30.3","56","20"
"Cave, Jake","595909","2024","-1","37.8","-0.2","-0.1","-0.1","-0.4","33.5","45","17"
"Chisholm Jr., Jazz","665862","2024","2","57.1","0.3","0.5","0.1","0.9","35.3","56","32"
"Chourio, Jackson","694192","2024","4","57.3","-0.3","1.7","-0.4","1","34.5","75","43"
"Conforto, Michael","624424","2024","-2","38.2","-1.3","0","0","-1.3","31.9","34","13"
"Cowser, Colton","681297","2024","7","60.7","0.7","-0.4","0.2","0.4","33.9","61","37"
"Crow-Armstrong, Pete","691718","2024","14","75.4","2.6","0.1","0.5","3.1","37.5","69","52"
"De La Cruz, Bryan","650559","2024","-9","31.3","-1.3","0.1","-0.3","-1.4","32.4","48","15"
"DeLuca, Jonny","676356","2024","5","70.7","1.6","-0.2","0.1","1.5","35.5","41","29"
"Donovan, Brendan","680977","2024","0","53.1","-0.3","0.6","-0.1","0.2","34.5","49","26"
"Doyle, Brenton","686668","2024","10","66.3","1","-1.1","0.8","0.7","35.1","92","61"
"Dubón, Mauricio","643289","2024","2","62.5","0.9","0.7","0","1.6","35.7","40","25"
"Duran, Jarren","680776","2024","7","64.4","0.6","1.4","-0.6","1.4","35.3","73","47"
"Duvall, Adam","594807","2024","1","58.8","0.2","1.4","-0.3","1.3","35.5","34","20"
"Fairchild, Stuart","656413","2024","3","64.9","0.7","0.6","-0.1","1.2","35.2","37","24"
"Fletcher, Dominic","666150","2024","4","56.4","1.1","2.3","-1.1","2.3","36.4","39","22"
"Fraley, Jake","641584","2024","-1","50","1.3","0.1","0.1","1.4","34.6","46","23"
"Frelick, Sal","686217","2024","5","65.2","0.5","0.6","-0.6","0.5","34.6","66","43"
"Friedl, TJ","670770","2024","-7","38.8","-0.9","0.6","-0.9","-1.2","33","49","19"
"García, Adolis","666969","2024","-10","30.4","-0.7","0.2","-0.1","-0.5","33.6","56","17"
